rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
ustny;nie dotyczy;jezyk polski;kobiety;2016;65.2
ustny;nie dotyczy;jezyk angielski;kobiety;2016;68.2
ustny;nie dotyczy;jezyk niemiecki;kobiety;2016;65.4
ustny;nie dotyczy;jezyk francuski;kobiety;2016;79.9
ustny;nie dotyczy;jezyk rosyjski;kobiety;2016;66.0
ustny;nie dotyczy;jezyk hiszpanski;kobiety;2016;78.9
ustny;nie dotyczy;jezyk wloski;kobiety;2016;79.4
ustny;nie dotyczy;jezyk polski;mezczyzni;2016;60.6
ustny;nie dotyczy;jezyk angielski;mezczyzni;2016;68.4
ustny;nie dotyczy;jezyk niemiecki;mezczyzni;2016;60.5
ustny;nie dotyczy;jezyk francuski;mezczyzni;2016;80.3
ustny;nie dotyczy;jezyk rosyjski;mezczyzni;2016;59.9
ustny;nie dotyczy;jezyk hiszpanski;mezczyzni;2016;80.2
ustny;nie dotyczy;jezyk wloski;mezczyzni;2016;79.1
ustny;nie dotyczy;jezyk polski;ogolem;2016;63.2
ustny;nie dotyczy;jezyk angielski;ogolem;2016;68.3
ustny;nie dotyczy;jezyk niemiecki;ogolem;2016;63.6
ustny;nie dotyczy;jezyk francuski;ogolem;2016;80.0
ustny;nie dotyczy;jezyk rosyjski;ogolem;2016;63.9
ustny;nie dotyczy;jezyk hiszpanski;ogolem;2016;79.2
ustny;nie dotyczy;jezyk wloski;ogolem;2016;79.3
pisemny;podstawowy;jezyk polski;kobiety;2017;59.1
pisemny;podstawowy;jezyk bialoruski;kobiety;2017;78.2
pisemny;podstawowy;jezyk litewski;kobiety;2017;83.4
pisemny;podstawowy;jezyk ukrainski;kobiety;2017;77.6
pisemny;podstawowy;matematyka;kobiety;2017;54.0
pisemny;podstawowy;jezyk angielski;kobiety;2017;70.7
pisemny;podstawowy;jezyk niemiecki;kobiety;2017;65.7
pisemny;podstawowy;jezyk francuski;kobiety;2017;77.5
pisemny;podstawowy;jezyk rosyjski;kobiety;2017;63.4
pisemny;podstawowy;jezyk hiszpanski;kobiety;2017;77.1
pisemny;podstawowy;jezyk wloski;kobiety;2017;81.4
pisemny;podstawowy;jezyk polski;mezczyzni;2017;53.1
pisemny;podstawowy;jezyk bialoruski;mezczyzni;2017;68.5
pisemny;podstawowy;jezyk litewski;mezczyzni;2017;67.3
pisemny;podstawowy;jezyk ukrainski;mezczyzni;2017;74.7
pisemny;podstawowy;matematyka;mezczyzni;2017;55.1
pisemny;podstawowy;jezyk angielski;mezczyzni;2017;72.4
pisemny;podstawowy;jezyk niemiecki;mezczyzni;2017;63.4
pisemny;podstawowy;jezyk francuski;mezczyzni;2017;79.5
pisemny;podstawowy;jezyk rosyjski;mezczyzni;2017;57.5
pisemny;podstawowy;jezyk hiszpanski;mezczyzni;2017;78.3
pisemny;podstawowy;jezyk wloski;mezczyzni;2017;80.4
pisemny;podstawowy;jezyk polski;ogolem;2017;56.4
pisemny;podstawowy;jezyk bialoruski;ogolem;2017;73.7
pisemny;podstawowy;jezyk litewski;ogolem;2017;75.8
pisemny;podstawowy;jezyk ukrainski;ogolem;2017;76.5
pisemny;podstawowy;matematyka;ogolem;2017;54.5
pisemny;podstawowy;jezyk angielski;ogolem;2017;71.5
pisemny;podstawowy;jezyk niemiecki;ogolem;2017;64.9
pisemny;podstawowy;jezyk francuski;ogolem;2017;78.1
pisemny;podstawowy;jezyk rosyjski;ogolem;2017;61.3
pisemny;podstawowy;jezyk hiszpanski;ogolem;2017;77.4
pisemny;podstawowy;jezyk wloski;ogolem;2017;81.1
pisemny;rozszerzony;jezyk polski;kobiety;2017;50.4
pisemny;rozszerzony;jezyk bialoruski;kobiety;2017;100.0
pisemny;rozszerzony;jezyk litewski;kobiety;2017;84.3
pisemny;rozszerzony;jezyk ukrainski;kobiety;2017;81.4
pisemny;rozszerzony;matematyka;kobiety;2017;41.6
pisemny;rozszerzony;jezyk angielski;kobiety;2017;59.5
pisemny;rozszerzony;jezyk niemiecki;kobiety;2017;56.0
pisemny;rozszerzony;jezyk francuski;kobiety;2017;60.8
pisemny;rozszerzony;jezyk rosyjski;kobiety;2017;57.1
pisemny;rozszerzony;jezyk hiszpanski;kobiety;2017;55.5
pisemny;rozszerzony;jezyk wloski;kobiety;2017;68.3
pisemny;rozszerzony;wiedza o spoleczenstwie;kobiety;2017;25.0
pisemny;rozszerzony;geografia;kobiety;2017;30.4
pisemny;rozszerzony;biologia;kobiety;2017;36.5
pisemny;rozszerzony;chemia;kobiety;2017;39.9
pisemny;rozszerzony;historia;kobiety;2017;32.0
pisemny;rozszerzony;fizyka;kobiety;2017;39.8
pisemny;rozszerzony;historia muzyki;kobiety;2017;53.2
pisemny;rozszerzony;historia sztuki;kobiety;2017;45.5
pisemny;rozszerzony;filozofia;kobiety;2017;44.2
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;kobiety;2017;60.4
pisemny;rozszerzony;informatyka;kobiety;2017;34.1
pisemny;rozszerzony;jezyk kaszubski;kobiety;2017;75.5
pisemny;rozszerzony;jezyk lemkowski;kobiety;2017;90.0
pisemny;rozszerzony;jezyk polski;mezczyzni;2017;47.6
pisemny;rozszerzony;jezyk bialoruski;mezczyzni;2017;100.0
pisemny;rozszerzony;jezyk litewski;mezczyzni;2017;65.9
pisemny;rozszerzony;jezyk ukrainski;mezczyzni;2017;78.6
pisemny;rozszerzony;matematyka;mezczyzni;2017;34.1
pisemny;rozszerzony;jezyk angielski;mezczyzni;2017;59.8
pisemny;rozszerzony;jezyk niemiecki;mezczyzni;2017;54.8
pisemny;rozszerzony;jezyk francuski;mezczyzni;2017;63.8
pisemny;rozszerzony;jezyk rosyjski;mezczyzni;2017;56.8
pisemny;rozszerzony;jezyk hiszpanski;mezczyzni;2017;52.4
pisemny;rozszerzony;jezyk wloski;mezczyzni;2017;67.6
pisemny;rozszerzony;wiedza o spoleczenstwie;mezczyzni;2017;28.5
pisemny;rozszerzony;geografia;mezczyzni;2017;30.7
pisemny;rozszerzony;biologia;mezczyzni;2017;37.0
pisemny;rozszerzony;chemia;mezczyzni;2017;44.8
pisemny;rozszerzony;historia;mezczyzni;2017;34.5
pisemny;rozszerzony;fizyka;mezczyzni;2017;40.3
pisemny;rozszerzony;historia muzyki;mezczyzni;2017;37.9
pisemny;rozszerzony;historia sztuki;mezczyzni;2017;37.6
pisemny;rozszerzony;filozofia;mezczyzni;2017;40.0
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;mezczyzni;2017;71.3
pisemny;rozszerzony;informatyka;mezczyzni;2017;32.8
pisemny;rozszerzony;jezyk kaszubski;mezczyzni;2017;70.0
pisemny;rozszerzony;jezyk lemkowski;mezczyzni;2017;0.0
pisemny;rozszerzony;jezyk polski;ogolem;2017;49.7
pisemny;rozszerzony;jezyk bialoruski;ogolem;2017;100.0
pisemny;rozszerzony;jezyk litewski;ogolem;2017;76.7
pisemny;rozszerzony;jezyk ukrainski;ogolem;2017;80.5
pisemny;rozszerzony;matematyka;ogolem;2017;36.9
pisemny;rozszerzony;jezyk angielski;ogolem;2017;59.6
pisemny;rozszerzony;jezyk niemiecki;ogolem;2017;55.6
pisemny;rozszerzony;jezyk francuski;ogolem;2017;61.5
pisemny;rozszerzony;jezyk rosyjski;ogolem;2017;57.0
pisemny;rozszerzony;jezyk hiszpanski;ogolem;2017;54.7
