rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
pisemny;rozszerzony;jezyk angielski;kobiety;2022;63.3
pisemny;rozszerzony;jezyk niemiecki;kobiety;2022;52.3
pisemny;rozszerzony;jezyk francuski;kobiety;2022;60.9
pisemny;rozszerzony;jezyk rosyjski;kobiety;2022;78.6
pisemny;rozszerzony;jezyk hiszpanski;kobiety;2022;53.8
pisemny;rozszerzony;jezyk wloski;kobiety;2022;67.3
pisemny;rozszerzony;wiedza o spoleczenstwie;kobiety;2022;28.3
pisemny;rozszerzony;geografia;kobiety;2022;39.7
pisemny;rozszerzony;biologia;kobiety;2022;43.2
pisemny;rozszerzony;chemia;kobiety;2022;34.9
pisemny;rozszerzony;historia;kobiety;2022;35.5
pisemny;rozszerzony;fizyka;kobiety;2022;37.7
pisemny;rozszerzony;historia muzyki;kobiety;2022;40.9
pisemny;rozszerzony;historia sztuki;kobiety;2022;39.9
pisemny;rozszerzony;filozofia;kobiety;2022;39.0
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;kobiety;2022;48.6
pisemny;rozszerzony;informatyka;kobiety;2022;42.8
pisemny;rozszerzony;jezyk kaszubski;kobiety;2022;61.8
pisemny;rozszerzony;jezyk lemkowski;kobiety;2022;0.0
pisemny;rozszerzony;jezyk polski;mezczyzni;2022;51.9
pisemny;rozszerzony;jezyk bialoruski;mezczyzni;2022;100.0
pisemny;rozszerzony;jezyk litewski;mezczyzni;2022;85.1
pisemny;rozszerzony;jezyk ukrainski;mezczyzni;2022;64.8
pisemny;rozszerzony;matematyka;mezczyzni;2022;30.9
pisemny;rozszerzony;jezyk angielski;mezczyzni;2022;62.4
pisemny;rozszerzony;jezyk niemiecki;mezczyzni;2022;52.2
pisemny;rozszerzony;jezyk francuski;mezczyzni;2022;61.0
pisemny;rozszerzony;jezyk rosyjski;mezczyzni;2022;79.7
pisemny;rozszerzony;jezyk hiszpanski;mezczyzni;2022;47.1
pisemny;rozszerzony;jezyk wloski;mezczyzni;2022;69.6
pisemny;rozszerzony;wiedza o spoleczenstwie;mezczyzni;2022;33.5
pisemny;rozszerzony;geografia;mezczyzni;2022;41.2
pisemny;rozszerzony;biologia;mezczyzni;2022;44.1
pisemny;rozszerzony;chemia;mezczyzni;2022;42.4
pisemny;rozszerzony;historia;mezczyzni;2022;40.4
pisemny;rozszerzony;fizyka;mezczyzni;2022;36.3
pisemny;rozszerzony;historia muzyki;mezczyzni;2022;32.6
pisemny;rozszerzony;historia sztuki;mezczyzni;2022;34.1
pisemny;rozszerzony;filozofia;mezczyzni;2022;38.6
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;mezczyzni;2022;46.0
pisemny;rozszerzony;informatyka;mezczyzni;2022;39.9
pisemny;rozszerzony;jezyk kaszubski;mezczyzni;2022;57.1
pisemny;rozszerzony;jezyk lemkowski;mezczyzni;2022;0.0
pisemny;rozszerzony;jezyk polski;ogolem;2022;54.5
pisemny;rozszerzony;jezyk bialoruski;ogolem;2022;99.7
pisemny;rozszerzony;jezyk litewski;ogolem;2022;81.8
pisemny;rozszerzony;jezyk ukrainski;ogolem;2022;70.8
pisemny;rozszerzony;matematyka;ogolem;2022;33.2
pisemny;rozszerzony;jezyk angielski;ogolem;2022;62.8
pisemny;rozszerzony;jezyk niemiecki;ogolem;2022;52.3
